id,type,text1
frigjoring,CUSTOM,"
Frigjoring experiences a harsh continental climate, marked by long, frigid winters and brief, warm summers. The landscape is rich in rivers, wetlands, and permafrost, forming a delicate ecosystem. However, industrial expansion and climate changeâ€”particularly the thawing of permafrostâ€”pose serious threats to this fragile environment. The nation's heavy reliance on refining has resulted in an over-specialized export economy, leaving it highly susceptible to global market fluctuations. In times of economic hardship, desperation has driven people to extreme measuresâ€”there are even accounts of men killing neighbors over a winter coat.
"
isencao,CUSTOM,"Isencao was a failed Domain-era experiment, seeded with engineered lifeforms meant to cleanse pollution by consuming it. Instead, the ecosystem adapted to thrive in the toxic output of a runaway nano-forge, mutating into an uncontrollable, hyper-aggressive jungle. The planet is now a nightmare of biomass, where survival depends on ethanol flamethrowers and electrified fences just to keep the foliage at bay. The more exotic flora are refined into some of the most profitable—and dangerous—designer drugs in the sector. Isencao now serves the Free Frontier Alliance—its industries powered by a vast population of genetically modified work beasts. 
"
LIB_fighter_laser_ship,SHIP,"The Oliver-class Heavy Interceptor is a fast-response defensive craft designed to outmaneuver incoming threats and protect high-value assets. Though its primary weapon is underpowered compared to frontline strike fighters, its true strength lies in its advanced countermeasure suite. Outfitted with rapid-deploy flare banks and a compact, high-efficiency shield generator, the Oliver excels at evading missiles and surviving in hostile environments long enough to complete its defensive role. "
LIB_Herrera,SHIP,"The Herrera-class Space Superiority Fighter is a heavily armored combat craft built for brute-force dominance in orbital and deep-space engagements. While it lacks the agility of lighter interceptor models, it compensates with a formidable main weapon system capable of overwhelming most targets in a single exchange. Herrera pilots are infamous for modifying their fighters. "
LIB_macron_ship,SHIP,The Lancer multi-role fighter is the latest product from Pinnacle Aerospace.  Swift and caring a powerful gun It is a formidable war steed. Lancer pilots are considered to be the craziest in the Alliance for only madmen would pilot a fighter with radioactive ammunition. 
LIB_superSize,CUSTOM,"The Mc Large is an array of six triple-tube micro-nuclear rocket pods, optimized for broad-area bombardment at a fraction of the typical cost. Firing economical 20% refined warheads, this system combines effective anti-armor capabilities with widespread EMP disruption. Designed for high-volume deployment, the Mc Large offers a reliable, cost-effective solution for commanders seeking nuclear saturation without the premium price tag. "
opertunidad,CUSTOM,"Oportunidad is a harsh, arid world dominated by endless deserts and scorched mesas. Most of its inhabitants eke out a living in isolated mining towns, where justice is swift and often delivered from the barrel of a gun. Beneath its sun-baked sands lies an unusually vast reserve of goldâ€”so abundant that it shapes the planetâ€™s art, architecture, and industry. Yet even here, water is more precious than gold.
Once decivilized during the First AI War, Oportunidad was shattered by saturation bombardments that left its surface scarred and its societies in ruins. It has since been resettled, though much of the interior remains lawless. A population of so-called ""natives"" endures by raiding more developed, cosmopolitan enclaves, continuing a cycle of survival carved from violence.
Oportunidad is not for the faint of heart. It is a hard world fit only for hard people.
"
rapture,CUSTOM,"The capital world of the FFA, Rapture is a water covered world with a few widespread tropical islands. Rapture is one of the few planets where you can see Domain era Style Aquaculture. The harvest is turned into heavily processed , delicious and incredibly unhealthy food. Most of the population live on the ocean floor In giant underwater city as the island are the sites of the most expensive beach side resorts in the sector. Rapture is the mecha of party life if you can afford it and avoid the gangsters and addiction zombies. Residents of rapture are advised to remain armed at all times. If you don't want to be hunted by Hegemony authorities : what happenes on Rapture stays on Rapture. "
thalb,CUSTOM,"The planet Thalb is the private dominion of the Heinze family, a world governed by a rigid system of neo-feudalism. Here, miners toil as the equivalent of peasants, service workers function as freemen, corporate security forces serve as modern-day knights, and regional managers wield authority akin to that of feudal lordsâ€”answering only to Queen Augusta herself. The entire planet operates as a colossal company town.
A constant influx of desperate migrants from across the sector arrive on Thalb, fleeing debt, chaos, or lawlessness. They seek refugeâ€”and employmentâ€”in the planetâ€™s volatile extraction industry, where there is always work, if little else.
While the rest of the Free Frontier Alliance views Thalbâ€™s management with deep contempt, no formal violations of the Non-Aggression Pact (NAP) have been recorded. Thus, Queen Augustaâ€™s rule continues, unchallenged by law.
"
LIB_aquinas,SHIP,"Chiron Kirk, Head of Supreme Solutions, stared grimly at the datapad, his jaw clenched as three Milie-class ships were torn apart by the relentless barrages of an Invictus-class warship. With a sharp breath, he tapped the microphone embedded in his desk.
“Connect me to the Research Department,” he said coldly. “We have work to do.”
In response to the Luddic Church’s reintroduction of the formidable Invictus-class into the sector, Supreme Solutions unveiled the Aquinas-class—a warship engineered to meet overwhelming force with precision and power. Designed with unmatched frontal firepower and reinforced armor, the Aquinas sacrifices broadside capabilities in favor of a devastating head-on assault profile. Passenger accommodations rival those of a royal palace, offering unparalleled luxury. Most notably, the ship operates with minimal human presence, relying instead on a fully integrated, artificially grown programmable brain to fulfill the roles traditionally assigned to crew.
"
